Condition;ID;Time;Survivors
ST;99;21;5
ST;100;21;9
PST1;1;23;4
PST1;2;23;10
PST1;3;23;5
PST1;4;23;6
PST1;5;23;8
PST1;6;23;4
PST1;7;23;6
PST1;8;23;5
PST1;9;23;4
PST1;10;23;5
PST2;11;23;6
PST2;12;23;6
PST2;13;23;7
PST2;14;23;5
PST2;15;23;7
PST2;16;23;5
PST2;17;23;5
PST2;18;23;5
PST2;19;23;5
PST2;20;23;5
PST3;21;23;9
PST3;22;23;4
PST3;23;23;6
PST3;24;23;7
PST3;25;23;7
PST3;26;23;7
PST3;27;23;5
PST3;28;23;5
PST3;29;23;7
PST3;30;23;8
PST4;31;23;6
PST4;32;23;7
PST4;33;23;9
PST4;34;23;7
PST4;35;23;7
PST4;36;23;3
PST4;37;23;2
PST4;38;23;1
PST4;39;23;4
PST4;40;23;3
PST1+C;41;23;10
PST1+C;42;23;10
PST1+C;43;23;9
PST1+C;44;23;10
PST1+C;45;23;8
PST1+C;46;23;9
PST1+C;47;23;8
PST1+C;48;23;8
PST1+C;49;23;10
PST1+C;50;23;10
PST2+C;51;23;8
PST2+C;52;23;8
PST2+C;53;23;8
PST2+C;54;23;9
PST2+C;55;23;10
PST2+C;56;23;8
PST2+C;57;23;7
PST2+C;58;23;8
PST2+C;59;23;10
PST2+C;60;23;10
PST3+C;61;23;9
PST3+C;62;23;8
PST3+C;63;23;9
PST3+C;64;23;9
PST3+C;65;23;9
PST3+C;66;23;4
PST3+C;67;23;10
PST3+C;68;23;10
PST3+C;69;23;9
PST3+C;70;23;8
PST4+C;71;23;8
PST4+C;72;23;9
PST4+C;73;23;8
PST4+C;74;23;6
PST4+C;75;23;10
PST4+C;76;23;10
PST4+C;77;23;8
PST4+C;78;23;9
PST4+C;79;23;10
PST4+C;80;23;8
C;81;23;8
C;82;23;9
C;83;23;8
C;84;23;8
C;85;23;6
C;86;23;9
C;87;23;6
C;88;23;8
C;89;23;7
C;90;23;9
ST;91;23;7
ST;92;23;9
ST;93;23;2
ST;94;23;4
ST;95;23;6
ST;96;23;9
ST;97;23;3
ST;98;23;4
ST;99;23;5
ST;100;23;8
PST1;1;25;4
PST1;2;25;10
PST1;3;25;5
PST1;4;25;6
PST1;5;25;8
PST1;6;25;4
PST1;7;25;6
PST1;8;25;4
PST1;9;25;3
PST1;10;25;5
PST2;11;25;6
PST2;12;25;6
PST2;13;25;6
PST2;14;25;4
PST2;15;25;5
PST2;16;25;4
PST2;17;25;5
PST2;18;25;5
PST2;19;25;5
PST2;20;25;5
PST3;21;25;9
PST3;22;25;3
PST3;23;25;6
PST3;24;25;7
PST3;25;25;6
PST3;26;25;6
PST3;27;25;5
PST3;28;25;5
PST3;29;25;7
PST3;30;25;7
PST4;31;25;5
PST4;32;25;7
PST4;33;25;6
PST4;34;25;7
PST4;35;25;6
PST4;36;25;2
PST4;37;25;2
PST4;38;25;1
PST4;39;25;3
PST4;40;25;3
PST1+C;41;25;10
PST1+C;42;25;10
PST1+C;43;25;8
PST1+C;44;25;10
PST1+C;45;25;8
PST1+C;46;25;9
PST1+C;47;25;8
PST1+C;48;25;8
PST1+C;49;25;10
PST1+C;50;25;9
PST2+C;51;25;8
PST2+C;52;25;8
PST2+C;53;25;8
PST2+C;54;25;9
PST2+C;55;25;10
PST2+C;56;25;8
PST2+C;57;25;7
PST2+C;58;25;8
PST2+C;59;25;10
PST2+C;60;25;10
PST3+C;61;25;9
PST3+C;62;25;7
PST3+C;63;25;9
PST3+C;64;25;8
PST3+C;65;25;9
PST3+C;66;25;4
PST3+C;67;25;10
PST3+C;68;25;10
PST3+C;69;25;9
PST3+C;70;25;8
PST4+C;71;25;8
PST4+C;72;25;9
PST4+C;73;25;7
PST4+C;74;25;6
PST4+C;75;25;10
PST4+C;76;25;10
PST4+C;77;25;8
PST4+C;78;25;9
PST4+C;79;25;10
PST4+C;80;25;8
C;81;25;8
C;82;25;9
C;83;25;8
C;84;25;8
C;85;25;4
C;86;25;8
C;87;25;6
C;88;25;8
C;89;25;7
C;90;25;9
ST;91;25;5
ST;92;25;7
ST;93;25;1
ST;94;25;4
ST;95;25;6
ST;96;25;7
ST;97;25;1
ST;98;25;3
ST;99;25;5
ST;100;25;8
PST1;1;28;3
PST1;2;28;6
PST1;3;28;5
PST1;4;28;4
PST1;5;28;4
PST1;6;28;3
PST1;7;28;6
PST1;8;28;4
PST1;9;28;3
PST1;10;28;2
PST2;11;28;6
PST2;12;28;5
PST2;13;28;5
PST2;14;28;3
PST2;15;28;5
PST2;16;28;3
PST2;17;28;4
PST2;18;28;5
PST2;19;28;4
PST2;20;28;5
PST3;21;28;7
PST3;22;28;3
PST3;23;28;5
