Condition ;ID;Time;Masslarva;MassPS;MLarveIni;MPSIni
PST4;32;14;-3.01;-1.75;;
PST4;33;14;-1.64;-0.77;;
PST4;34;14;-2.26;-1.96;;
PST4;35;14;-2.18;-1.62;;
PST4;36;14;-2.8;-0.57;;
PST4;37;14;;;;
PST4;38;14;-3.67;-4.41;;
PST4;39;14;-1.64;-0.98;;
PST4;40;14;-2.03;-1.43;;
PST1+C;41;14;5.88;-0.07;;
PST1+C;42;14;6.77;-0.16;;
PST1+C;43;14;5.87;0.55;;
PST1+C;44;14;3.79;0.75;;
PST1+C;45;14;3.19;1.05;;
PST1+C;46;14;0.75;0.55;;
PST1+C;47;14;1.58;0.35;;
PST1+C;48;14;7.75;-0.37;;
PST1+C;49;14;4.64;0.2;;
PST1+C;50;14;5.47;0.4;;
PST2+C;51;14;6.02;-0.06;;
PST2+C;52;14;0.46;0.69;;
PST2+C;53;14;4.42;1.01;;
PST2+C;54;14;3.99;1.71;;
PST2+C;55;14;3.98;0.28;;
PST2+C;56;14;5.67;-0.38;;
PST2+C;57;14;-1.36;0.24;;
PST2+C;58;14;3.89;1.68;;
PST2+C;59;14;1.83;0.19;;
PST2+C;60;14;7.07;1.35;;
PST3+C;61;14;2.2;0.76;;
PST3+C;62;14;5.63;-0.67;;
PST3+C;63;14;6.65;0.75;;
PST3+C;64;14;0.53;0.22;;
PST3+C;65;14;3.15;0.42;;
PST3+C;66;14;0.51;0.04;;
PST3+C;67;14;4;1.11;;
PST3+C;68;14;-1.28;0.39;;
PST3+C;69;14;3.41;1.05;;
PST3+C;70;14;5.37;0.67;;
PST4+C;71;14;3.96;-1.36;;
PST4+C;72;14;2.53;-0.53;;
PST4+C;73;14;4.32;-0.79;;
PST4+C;74;14;1.37;-0.95;;
PST4+C;75;14;2.63;-0.37;;
PST4+C;76;14;3.48;-2.51;;
PST4+C;77;14;-1.17;-0.03;;
PST4+C;78;14;2.7;-0.41;;
PST4+C;79;14;1.77;-0.59;;
PST4+C;80;14;6.6;-2.24;;
C;81;14;3.03;;;
C;82;14;2.82;;;
C;83;14;3.63;;;
C;84;14;3.85;;;
C;85;14;2.55;;;
C;86;14;1.57;;;
C;87;14;7.74;;;
C;88;14;4.44;;;
C;89;14;6.73;;;
C;90;14;3.72;;;
ST;91;14;-1.64;;;
ST;92;14;-1.92;;;
ST;93;14;0.31;;;
ST;94;14;0.34;;;
ST;95;14;-2.63;;;
ST;96;14;-1.88;;;
ST;97;14;-2.98;;;
ST;98;14;-2.97;;;
ST;99;14;-2.2;;;
ST;100;14;-0.05;;;
PST1;1;16;-2.12;-0.48;;
PST1;2;16;-4.09;-1.64;;
PST1;3;16;-3.84;-1.25;;
PST1;4;16;-1.31;-1.93;;
PST1;5;16;-4.16;-1.11;;
PST1;6;16;-1.45;-0.05;;
PST1;7;16;-7.29;-1.6;;
PST1;8;16;-3.12;-0.54;;
PST1;9;16;-0.82;-0.37;;
PST1;10;16;-3.19;-4.55;;
PST2;11;16;-4.55;-1.62;;
PST2;12;16;-2.87;-1.03;;
PST2;13;16;-2.66;0.09;;
PST2;14;16;-2.98;0.07;;
PST2;15;16;-1.62;-0.81;;
PST2;16;16;-2.71;-0.2;;
PST2;17;16;-1.98;-0.07;;
PST2;18;16;-2.56;0.12;;
PST2;19;16;-2.68;-0.26;;
PST2;20;16;-2.78;0.01;;
PST3;21;16;-3.2;-0.23;;
PST3;22;16;-0.29;-0.12;;
PST3;23;16;-2.83;-0.38;;
PST3;24;16;-2.51;-0.41;;
PST3;25;16;-1.35;-0.02;;
PST3;26;16;-1.51;-0.24;;
PST3;27;16;-3;-0.21;;
PST3;28;16;-2.05;-0.28;;
PST3;29;16;-0.81;-0.28;;
PST3;30;16;-3.06;-0.6;;
