Condition ;ID;Time;MassAdult;MassPS;MadultIni;MPSIni
ST;100;14;-3.46;;;
PST1;1;16;1.06;-0.35;;
PST1;2;16;-3.8;-0.22;;
PST1;3;16;-4.15;-0.56;;
PST1;4;16;0.08;-0.86;;
PST1;5;16;0.94;-10.22;;
PST1;6;16;-3.76;-0.35;;
PST1;7;16;-1.59;-1.18;;
PST1;8;16;-1.72;-2.29;;
PST1;9;16;-0.17;-0.37;;
PST1;10;16;-3.44;-1.79;;
PST2;11;16;-4.4;-1.62;;
PST2;12;16;-1.13;-0.65;;
PST2;13;16;0.29;-0.87;;
PST2;14;16;-0.83;-2.41;;
PST2;15;16;-0.06;-0.84;;
PST2;16;16;-1.78;-0.33;;
PST2;17;16;-0.98;-0.31;;
PST2;18;16;-1.13;-0.29;;
PST2;19;16;-1.88;-1.4;;
PST2;20;16;-0.97;-2.63;;
PST3;21;16;0.71;-0.44;;
PST3;22;16;-0.74;-0.27;;
PST3;23;16;0.2;-0.26;;
PST3;24;16;-0.5;-3.23;;
PST3;25;16;0.28;-0.31;;
PST3;26;16;-0.16;-0.38;;
PST3;27;16;2.78;-0.23;;
PST3;28;16;0.9;-0.38;;
